sentence,labels,topic
quan tâm giúp đỡ luôn nhiệt tình học sinh hỏi bài .,2,0
dạy khá chuyên .,2,0
cô giao bài tập nhiệt tình .,2,0
"giáo viên dạy hay , tạo niềm vui cho sinh viên .",2,0
"thầy vui tính , dạy dễ hiểu .",2,0
"chất giọng cô đều đều dễ gây buồn ngủ , slide bài giảng chưa logic .",0,0
thông báo rõ hình thức đánh giá môn học một cách thống nhất .,0,1
"khuyên răn sinh viên , đặt vấn đề tốt cho một giải pháp .",2,0
cách truyền đạt giảng viên chưa tốt .,0,0
giáo viên tận tình bảo .,2,0
giờ giấc đảm bảo .,0,0
đôi chỗ khó hiểu .,0,3
giảng dạy đúng giờ nhiệt tình .,2,0
"giảng viên nhiệt tình , tận tâm , bài giảng thu hút , dễ hiểu .",2,0
hiện nay phòng lab số lượng kit học hư hỏng .,0,2
"giảng dạy hiệu quả , tích cực tiết học .",2,0
"dạy hay , nhiệt tình .",2,0
giảng viên tâm huyết .,2,0
"giảng viên tận tâm , nhiệt tình hỗ trợ sinh viên học tập , làm đồ án .",2,0
hiểu thầy nói colondoublesurprise .,0,0
trang thêm thiết mạng hơn thực hành !,0,2
quá sách .,0,1
cô dạy dễ hiểu vui quá trời .,2,0
quá trình giảng dạy giảng viên luôn nhiệt tình sinh viên .,2,0
"giảng viên thường cho nghỉ lý dở , lớp ngồi đợi lâu người thay giáo viên báo nghỉ hoặc thường xuyên đi trễ ba mươi phút lý dở "" kẹt xe "" .",0,0
số lượng bài tập chưa .,0,1
truyền đạt bài dễ tiếp thu .,2,0
dạy hay dot giúp học sinh tiếp thu .,2,0
"thưa , tài liệu thầy đưa đủ em thể tự hoàn thành đồ án riêng mình .",0,0
buổi nào cũng đều dài quá mức thiết gây mệt mỏi .,0,1
giáo viên dạy nhiệt tình hài hước .,2,0
cô dạy luôn cuốn hút sinh viên .,2,0
"giảng viên cho ví dụ , bài tập minh họa cho sinh viên .",2,0
"cách trình bày bài giảng thầy hay , dễ hiểu dễ tiếp thu đối sinh viên .",2,0
khả năng truyền đạt chưa ổn .,0,0
thầy dạy nhiệt tình tận tâm .,2,0
giáo viên lớp đúng giờ phát âm khá chuẩn .,2,0
vui vẻ hòa đồng .,2,0
"thời gian thực hành tập trung chưa phù hợp , trùng giờ môn học khác .",0,1
nội dung kiến thức đảm bảo .,2,1
"dụng cụ học tập còn thiếu , đảm bảo cho sinh viên tập luyện .",0,0
"sửa một số máy hư chuột , chuột khó đi chuyển , gây khó khăn cho thực hành .",0,2
đề khó colonbigsmile .,0,1
về chuyên môn khỏi chê đâu .,2,0
thầy dạy còn chưa rõ .,0,0
cô nhiệt tình giảng dạy .,2,0
mong thầy dạy đúng số tiết môn quy định .,0,0
thầy nhiệt tâm cởi mở .,2,0
thầy cho lớp ôn tập nội dung thi ở kỳ kiểm tra giữa kỳ thi cuối kỳ .,0,0
tài liệu giảng dạy bổ sung .,0,1
tuy nhiên truyền đạt hơi khó hiểu cho sinh viên .,0,0
hình thức thực hiện chưa chuyên nghiệp máy móc .,0,1
cho bài tập ngày học .,0,1
mới học môn thầy .,1,0
visual studio máy phòng máy hết hạn .,0,2
cô giảng giọng quá nhỏ chả nghe .,0,0
cung cấp tài liệu tham khảo tốt .,2,0
hợp cách giảng dạy .,0,3
tìm phương pháp giảng dạy tốt hơn sinh viên chúng em hiểu bài nhớ lâu hơn .,0,0
"giảng viên nhiệt tình hướng dẫn học , giải bài tập khó .",2,0
"khí lớp thoải mái , tạo động lực phát biểu , góp ý kiển .",2,0
khá tốt .,2,3
"giáo viên giảng nhanh quá , em chép bài kịp kịp hiểu .",0,0
"thầy dễ thương , vui vẻ .",2,0
máy chiếu phòng học tệ !,0,2
"thầy đảm bảo lớp đúng giờ , bữa nghỉ cũng báo cho sinh viên hay thông báo nghỉ .",0,0
em thích cách dạy tận tình giúp đỡ sinh viên thầy .,2,0
"thầy phương pháp chấm bài hay , tuy khó bổ ích cho sinh viên .",2,0
mặc dù thầy nhiệt tình lượng kiến thức thầy truyền đạt chúng em tiếp thu một cách hiệu quả .,0,0
chưa hài lòng .,0,3
thầy tận tâm sinh viên .,2,0
"thầy dạy kỹ , tận tâm sinh viên , thường xuyên trao đổi sinh viên ngoài giờ .",2,0
này gây chênh lệch rõ rệt về trình độ anh văn lớp .,0,1
cô dạy còn hơi nhanh hơi thuần lý thuyết .,0,0
"cho bài tập giải , sinh viên biết làm biết mình làm đúng hay .",0,0
"giờ lớp thời gian đầu dành cho seminar , ba mươi - bốn mươi lăm phút còn seminar giảng viên cho làm bài tập thực hành , sinh viên tự làm , giảng viên hướng dẫn thêm làm riêng .",0,0
em nghĩ thầy bài sửa ngày deadline thực hành môn mạng máy tính khó nắm bắt .,0,0
cô truyền đạt bài giảng tốt .,2,0
"cô dạy hay , cho bài tập ứng dụng thực tiễn .",2,0
"giảng dễ hiểu vui tính , thân thiện .",2,0
nội dung truyền đạt thầy về kiến thức còn về cách sống .,2,1
giảng viên thường xuyên nghỉ báo .,0,0
"giảng viên tâm huyết , khả năng truyền đạt đến học sinh cao .",2,0
"thầy dạy dễ hiểu , nhiệt tình trả lời giải đáp sinh viên .",2,0
giảng viên tích cực giải đề năm .,2,0
"cô giảng bài lớp còn ồn khó tập trung nghe giảng , mong cô dùng micro giảng bài nói to hơn ạ .",0,0
"giáo viên tận tâm , giải đáp thắc mắc học sinh , cực kỳ linh động .",2,0
ngôn phương pháp giảng dạy gần gũi sinh viên .,2,0
lan man hơi khó hiểu .,0,0
thầy nhiệt tình dạy dễ hiểu .,2,0
may mắn cho sinh viên này còn làm giảng viên này .,0,0
"cô wzjwz226 tâm huyết sinh viên , tận tâm , giảng bài hiệu quả .",2,0
"cô dễ thương , dạy dễ hiểu .",2,0
phòng thực hành về mạng trang thiết về mạng hơn sinh viên thể thực hành máy móc chứ học thông phần mềm .,0,2
cho sinh viên làm hoạt động nhóm hơn mở rộng nâng cao kiến thức cho sinh viên hơn .,0,1
"thầy nhiệt tình , tận tụy , vui vẻ .",2,0
"thầy nghiêm khắc , một người thầy giỏi .",2,0
"dở học chung anh chị khoá 2011 , một phần nhỏ khoá 2012 , anh chị quá ồn ào , ồn ào chịu nổi mặc dù nhắc nhở lần .",0,1
"lý dở doubledot hai tuần cuối kỳ , sinh viên làm đồ án môn , ôn thi .",0,3
"thầy giảng nhiệt tình , cặn kẽ .",2,0
giảng viên chưa truyền đạt tốt cho sinh viên thái độ ban đầu chưa tốt .,0,0
"cô dạy nhiệt tình , kiến thức sâu rộng , liên hệ thực tiễn cụ thể .",2,0
thầy cung cấp thông tin mới ích cho sinh viên về học tập làm này !,2,0
em ý kiến .,1,3
"giảng dạy tốt , nhiệt huyết sinh viên .",2,0
thầy cho bài tập .,1,0
cô tận tình !,2,0
cảm thấy may mắn học thầy .,2,3
thầy giảng dạy nhiệt tình vui tính .,2,0
"giảng viên quá nhiệt tình , hiểu sinh viên , thương sinh viên .",2,0
"thầy vui tính , dạy dễ hiểu tận tình .",2,0
"giảng viên nghỉ dạy buổi , kiến thức truyền đạt cho sinh viên .",0,0
đảm bảo chương trình dạy .,2,1
nâng cao cơ sở vật chất giảng dạy .,0,2
giảng viên kỹ năng sư phạm tốt hơn .,0,0
"cô tận tâm , nhiệt huyết , thân thiện , tạo gian học thoải mái .",2,0
"thiếu thông tin , tài liệu về môn học .",0,1
chưa ôn tập kiến thức cơ bản anh văn một .,0,0
học sinh yêu cầu giảng giảng bảo về tự xem .,0,0
thầy dạy tận tâm .,2,0
"giảng viên nói to rõ , làm cho tiết học thêm sôi động , hấp dẫn .",0,0
"cô tuyệt , giảng lý thuyết bài tập siêu kỹ , giải đáp thắc mắc sinh viên cực nhanh chi tiết .",2,0
"cô dạy vui vẻ nhiệt tình , giúp em hứng học môn anh văn hơn .",2,0
cô vui tính .,2,0
"số lượng bài tập lớp buổi khá , em mong thầy thể giảm bớt hai - ba bài .",0,0
giáo viên giảng dạy kỹ phần .,2,0
"cô cũng khuyến khích seminar tăng khả năng sinh bày sinh viên , quá trình trình bày hoặc xây dựng nội dung trình bày cô luôn tận tình giúp đỡ khó khăn phía sinh viên .",2,0
đưa sinh viên đi tham quan thực tế về doanh nghiệp .,2,1
giao tiếp hơn .,0,0
"khiến cho chúng em đói mệt , kiến thức thầy nói thật đáng chúng em ghi nhận đói mệt làm sao chúng em tiếp thu thực hiện nổi .",0,0
giải thích rõ vấn đề .,2,0
ý kiến !,1,3
"thời lượng học lý thuyết môn học ngắn , dễ ảnh hưởng giảng viên đến trễ hay tham gia buổi họp .",0,1
"giảng viên tôn trọng sinh viên , hướng dẫn tận tình cho sinh viên cách học ôn tập cuối kỳ , ngoài còn hướng dẫn chi tiết cho sinh viên về đồ án tốt nghiệp .",2,0
"sách dạy chi tiết về môn học học khó hiểu , tài liều hướng dẫn cụ thể chi tiết , mong nhà trường viết thêm sách cho sinh viên .",0,1
"nghỉ học , lớp trễ .",0,0
hi vọng thầy thể cải thiện kỹ năng truyền đạt hơn .,0,0
sinh viên đi học chăm nghe thầy giảng làm bài tập thầy cho .,2,0
thầy dạy nhiệt tình chỗ sinh viên chưa nắm rõ .,2,0
bài tập thôi chữa bài .,0,1
"dậy nhiệt tình , dễ tính .",2,0
thầy thể giới thiệu cho bọn em cuốn sách nội dung đầy đủ phù hợp nội dung chương trình nhà trường đề .,0,0
giảng viên khả năng truyền đạt tốt .,2,0
"giáo viên giảng dạy nhiệt tình , tạo hứng thú cho sinh viên .",2,0
giảng viên đưa bài giảng hệ thống courses .,0,0
thầy dạy hơi gây buồn ngủ .,0,0
"thiếu trang , dụng cụ thực hành thiết , đáp ứng đủ thời gian giảng dạy dở vắng tiết .",0,2
"cô tận tình , nhiệt tình công .",2,0
thực hành liên quan đến lý thuyết .,0,1
giảng viên nói quá nhanh .,0,0
đề nghị giảng viên sử dụng hiệu quả hơn kênh moodle nâng cao chất lượng giảng dạy .,0,0
khả năng truyền đạt giảng viên chưa tốt .,0,0
thầy dễ chịu .,2,0
"thầy vui vẻ giải đáp thắc mắc học sinh hỏi , bớt càu nhàu .",0,0
"cung cấp cho sinh viên biết mục đích công dụng thực tiễn môn học thực tế nghề nghiệp , thêm ví dụ liên quan tới cách áp dụng môn học nghề nghiệp tương lai chứ dừng ở lấy ví dụ cho bài giảng .",2,1
tuy nhiên ai hỏi cô trả lời nhiệt tình .,2,0
"giải chi tiết bài tập , tiếp thu bài nhanh giờ giảng thầy .",2,0
cố gắng tạo mọi kiện sinh viên hoạt động nâng cao kỹ năng .,2,0
"cô dạy hơi khó hiểu , phức tạp hóa vấn đề .",0,0
"đưa ví dụ , bài tập cộng bài giảng đi .",0,0
thầy dạy tận tình .,2,0
"câu văn bài giảng khó hiểu , diễn đạt rõ ràng ý nghĩa .",0,1
"bản thân thầy dạy thực hành ba tuần học liền tương đương 1dot5 tháng thầy làm yêu cầu cơ bản môn học , kết nối oracle hai máy .",0,0
"thầy giảng hơi khó hiểu , thầy chủ động mở cuộc tranh luận sinh viên .",0,0
giảng hơi nhanh .,0,0
"giáo viên tận tâm , công minh .",2,0
"đề bài tập thầy hay , ấn tượng !",2,1
làm thầy tâm chút đi ạ .,0,0
"ví dụ sinh động , dễ hiểu .",2,3
giảng viên kinh nghiệm chuyên môn .,2,0
người thậy nhiệt huyết dù học sinh đi học đầy đủ .,2,0
cô cung cấp đáp án bài tập moodle .,0,0
"cách giảng đôi ( vài buổi ) còn gây buồn ngủ , chưa thu hút ( thể dở bài giảng lý thuyết mới ) .",0,0
giảng viên chuyên môn cao .,2,0
"giảng viên đảm bảo thời gian lớp tốt , chấm điểm công bằng .",2,0
"một thực hành một môn khó , số tín bằng hai lý thuyết giảng viên giảng một cách khái quát về bài học sinh viên về nhà thể tự thực hành , chứ chiếu đề bắt sinh viên làm trống kiến thức .",0,0
giảng giải bài quá nhanh .,0,0
giảng dạy tận tình .,2,0
slide chưa đẹp lắm .,0,1
"chưa trao đổi , tương tác sinh viên diễn đàn .",0,0
"bài tập , ví dụ đi liền thực tiễn công này chứ ví dụ doubledot viết chương trình số phức , số thực , vẽ tam giác .",0,1
"thiếu thiết chạy hệ hành windows phone , ios , android cho sinh viên thực hành .",0,2
"phương pháp giảng dạy tiên tiến , giờ học vui .",2,0
cô sửa bài cách .,2,0
thầy nghỉ báo colonsad .,0,0
thay ngồi chờ chấm điểm đi thi thực hành .,1,1
thầy giảng bài tập chưa hay .,0,0
chuẩn bài giảng kỹ .,2,0
em nói thật thầy dạy hơi buồn ngủ .,0,0
"giảng viên giảng dạy một cách khó hiểu , khó tiếp thu dễ ngủ .",0,0
chương trình dạy đem lợi ích .,0,0
"cô giảng dạy dễ hiểu , nhiệt tình , luôn trả lời nhiệt tình câu hỏi sinh viên đặt .",2,0
điểm danh học sinh đi học .,1,0
giảng viên kinh nghiệm .,2,0
nhiệt tình vui vẻ nói chung tốt .,2,0
giảng viên nhiệt tình ( xinh ) .,2,0
hơi cứng nhắc vấn đề này .,0,3
cô giáo dạy tiếng anh nói tiếng anh nhỏ khó nghe nói bằng micro hơn cách dạy cô khiến cho sinh viên thể nào buồn ngủ nó nhàm chán .,0,0
thầy nhiệt tình giảng dạy .,2,0
ứng dụng thực tiễn thích hợp !,2,3
giảng viên dạy nhiệt tình tâm .,2,0
thầy dạy hơi nhanh một chút .,0,0
hầu hết sinh viên tự làm cũng giao hoàn toàn cho lớp trưởng .,0,0
giảng viên dạy hơi buồn ngủ .,0,0
"tận tâm , kế hoạch .",2,0
tệ .,0,3
"dạy nhiệt tình , nhiệt huyết , thân thiện sinh viên .",2,0
"nhiệt tình , kiến thức rộng , truyền cảm hứng .",2,0
"giảng viên nhiệt tình , giảng thêm kiến thức bên ngoài , cũng bài tập thêm cho sinh viên mở rộng .",2,0
"thầy dạy vui tính , tận tâm sinh viên .",2,0
giảng cho học sinh kỹ hơn .,0,0
bài tập mang tính bắt buộc cho điểm cộng tạo động lực cũng hứng thú cho sinh viên hơn .,0,1
cô cho bài .,0,0
kiểm tra bài cũ .,0,0
khả năng truyền đạt giảng viên chưa hiệu quả phần khó hiểu .,0,0
"kiến thức giảng viên chưa sâu , chưa dạy đúng trọng tâm , phần cơ bản giảng viên chưa nắm vững .",0,0
phần mềm phục vụ cho phần thực hành cài đặt đầy đủ tất máy tính .,0,1
"giảng viên tích cực hỗ trợ sinh viên , truyền đạt hiệu quả .",2,0
cơ sở vật chất chưa tốt nghe tiếng anh .,0,0
giảng viên dạy hơi nhanh .,0,0
lớp học cô wzjwz25 đặc điểm trình độ tiếng anh quá chênh lệch giữa cách sinh viên một lớp .,0,1
phương pháp dạy phù hợp .,0,0
hoạt động nhóm quá dẫn đến mất thời gian .,0,0
thầy cung cấp đầy đủ slide sinh viên thể học tập dễ dàng hơn .,0,0
thầy giáo lớp đúng giờ .,2,0
môn học đưa hơn bài tập sinh viên thể nắm bắt cách xử lý cũng cách thực hiện cho một bài giảng .,0,1
cho sinh viên kiến thức .,0,0
"giảng viên sử dụng thời gian lớp hiểu quả dẫn đến dạy lố giờ , dạy bù quá .",0,0
giảng viên giảng đưa slide cho sinh viên tự đọc .,0,0
máy chiếu phòng học quá mờ khiến sinh viên nhìn rõ nội dung trình chiếu !,0,2
"dạy hời hợt tập trung , vấn đề về kiến thức sinh viên giải quyết hoặc chưa đưa cách giải quyết hay .",0,0
"thầy dạy dễ hiểu , gần gũi sinh viên .",2,0
"quen giọng thầy , thể chưa quen nhanh , đôi hơi khó hiểu .",0,3
quan tâm .,2,0
"tụi bạn em nó nói hỏi bài thầy mặt thầy nghiêm trọng đối em bao giờ xảy , thầy nói thật nào thầy chưa biết thầy nói chưa biết , thầy dạy xuất sắc một giáo viên trẻ quá tuyệt vời .",2,0
thường xuyên gửi bài mạng .,2,0
giảng bài chi tiết rõ ràng hơn .,0,0
cải thiện chất lượng phòng máy kết nối mạng .,0,2
giảng viên chưa đảm bảo ngày giờ học dẫn tới lớp học chậm lệch giảng viên thực hành .,0,0
"môn này em học cải thiện nhà trường hủy môn em xong đăng tự ý đổi lớp , em biết em đi học chắc chắn em rớt .",0,3
giảng viên truyền đạt ý hiểu đến sinh viên .,2,0
"thầy hệ thống kiến thức rõ ràng , giúp sinh viên tiếp thu tốt hơn .",2,0
bám sát chương trình dạy .,1,1
đào tạo thêm về cơ chế giảng dạy .,0,1
thầy giảng dạy đầy đủ bỏ sót kiến thức .,2,0
tôi hài lòng .,2,3
thầy wzjwz245 nói nhỏ .,0,0
mong nhà trường nâng cấp thêm cho phòng máy thực hành .,0,2
quá gấp gáp .,0,3
"thầy nhiệt tình , giúp đỡ sinh viên hiệu quả .",2,0
chưa đảm bảo giờ lớp .,0,0
kiến thức .,1,1
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận môn học .",2,0
"mình cũng ít đi học , chả biết lắm , đi nửa kỳ , thấy dạy chán quá thôi .",0,0
"cho học sinh thuyết trình , chủ động .",2,0
"phần pl fraction sql , quản lý , phân quyền .",1,1
chưa nói đến sinh viên tự tra .,0,3
giảng viên trau dồi thêm khả năng truyền đạt bài giảng .,0,0
giảng nhiệt tình .,2,0
"cô giảng dễ hiểu , đủ nội dung bài học .",2,0
em nghĩ quá cho hai tín .,0,3
luôn cập nhật kiến thức mới .,2,0
thầy giảng hơi khó hiểu .,0,0
thân thiện vui tính .,2,0
"lớp đầy đủ , dạy mới .",2,0
"thầy vui tính , nhiệt tình , hay cười .",2,0
cô lớp đúng giờ .,2,0
"ứng dụng thực tế giảng dạy , tạo cho sinh viên hình dung học tập làm trường .",2,1
cách dạy giáo viên hiệu quả .,2,0
"giảng viên dạy toàn diện kỹ năng tiếng anh , cách dạy linh hoạt , sôi nổi .",2,0
"vui vẻ hòa đồng , tận tâm giảng dạy .",2,0
"hoạt động đan xen giờ học lớp , giúp sinh viên tinh thần tự giác học tập .",2,1
giáo viên giảng bài làm cho sinh viên hứng thú dễ tiếp thu .,2,0
"đi học xa quá ạ , mong trường kế hoạch nào cho sinh viên học thể dục bên nhân văn đi bộ cho gần ạ !",0,1
thầy phân tích sâu sắc vấn đề .,2,0
"giảng viên tận tình hơn , giúp sinh viên cách học tốt hơn .",0,0
hài lòng năng lực mình thể phát huy .,0,0
ít cho nghe .,0,1
bài tập .,1,0
cho bài tập rèn luyện .,2,0
thầy nhiệt huyết tận tâm .,2,0
thầy giảng bài .,1,0
em hài lòng nhất giảng viên giảng bài dễ hiểu lưu ý lỗi thường xảy làm bài tập .,2,0
nhóm chưa chuẩn kỹ về vấn đề tìm hiểu .,0,1
"thầy dạy vui , kiến thức dầy đủ .",2,0
hình thức tạo nhóm hiệu quả .,0,0
"lý dở doubledot "" thầy quên "" .",0,0
khá khó hiểu .,0,3
truyền đạt .,1,0
"thiết kế bài giảng , dễ hiểu cuốn hút hơn .",0,1
"thầy nhiệt tình giảng dạy lớp , luôn đến lớp đúng giờ tận tâm đến học sinh trao đổi về bài tập cũng thường xuyên cho bài tập rèn luyện thêm .",2,0
bám sát đề thi hơn .,0,1
cho dạng bài tập hơn .,0,0
"thầy dạy hay dễ hiểu , hầu mọi thắc mắc đều hỏi thầy trả lời .",2,0
"đặc biệt thông tin cụ thể về dụng cụ nào nhà trường trách nhiệm cấp cho sinh viên giảng viên , ví dụ trường hợp bút lông viết bảng xài vài học kỳ khô hết mực , bút mờ viết giảng viên sinh viên biết đến đâu đổi hay thay bút mới dẫn đến giảng viên đành nói chay , ghi chép , hoặc tự đi mua bút viết bảng mới viết .",0,2
ôm đồm quá kỳ vọng .,0,3
làm bài tập hơn lý thuyết khô cứng khó hiểu dẫn đến sinh viên hoang mang gặp bài tập đề thi .,0,1
"dạy hay , đầy đủ .",2,0
cô nhiệt tình vui tính !,2,0
"nhiệt tình sinh viên , bài giảng tốt .",2,0
"cô giảng dạy nhiệt tình , giải đáp thắc mắc cho sinh viên nhanh chóng , kiên nhẫn giải thích cho sinh viên .",2,0
"giảng viên gây hứng thú cho sinh viên bài giảng mình , vui vẻ , thân thiện sinh viên .",2,0
bài tập nhỏ bám sát lý thuyết .,0,1
thầy dạy còn hơi buồn ngủ colonsmile .,0,0
"sinh viên đi học bù , gây tình trạng trùng giờ cho sinh viên , mong cô sớm khắc phục .",0,0
"thầy dạy tốt , em cho mười điểm .",2,0
"cô giảng hay , ví dụ dễ hiểu , làm mẫu bài tập , nhiệt tình .",2,0
"tài liệu cấp một lần đầu môn học , tránh trường hợp học mới đưa tài liệu gây khó khăn cho sinh viên .",0,1
nâng cấp hệ thống mạng máy tính .,0,2
thầy dậy nhiệt tình !,2,0
gặp vấn đề sinh viên biết cách sử dụng phương thức hàm nào .,2,0
biết cô wzjwz327 ai ?,1,3
"thầy dạy dễ hiểu , sát thực tế , gần gũi sinh viên .",2,0
biết mới lạ .,2,3
tuyệt !,2,3
giờ học cũng bài tập làm sinh viên nản .,0,1
"buổi nghỉ tết hay nghỉ lễ , thầy thông báo buổi học web môn học sinh viên thể đi học đúng buổi .",0,0
"thầy dạy hay , giảng bài dễ hiểu .",2,0
"dạy chậm về kiến thức , chưa hoàn tất chuyển c sang cplusplus .",2,0
"em nghĩ feedback phía thầy , hoặc sánh giữa bạn lớp nhau .",0,0
thường xuyên nhắc nội dung buổi bắt đầu buổi học .,2,0
"luôn trả lời thắc mắc sinh viên , dạy tận tình .",2,0
ý tưởng cho tiết học thêm sinh động .,2,1
đồng bộ kiến thức giáo viên lý thuyết .,0,1
nội dung kiểm tra bao phủ hết nội dung môn học .,0,1
"giảng viên kiểm tra sức học bạn sinh viên riêng biệt thay kiếm điểm quá trình lấy hoạt động nhóm nhóm một vài bạn hoạt động còn bạn còn đa số ăn , bạn ít thậm chí hoạt động lần kéo điểm nhóm xuống dở bạn hoat động năng nổ kiếm .",0,0
"giảng viên đảm bảo thời gian lớp , nghỉ dạy thông báo thường đến trễ .",0,0
thầy hay nghỉ dạy thông báo lần .,0,0
bám sát thực tiễn .,2,1
thầy cho bài tập về nhà .,0,0
giảng viên tập trung quá điện thoại giờ lớp .,0,0
"gần thi dặn , hỏi tới mới trả lời .",0,0
"bài tập , đồ án thầy đưa hay giúp sinh viên rèn luyện kiến thức tốt .",2,0
"thầy nhiệt tình , giảng bài chi tiết , quan tâm đến sinh viên nói nhẹ nhàng .",2,0
ý kiến về vấn đề em nhận học .,1,3
"hy vọng kỳ bộ môn anh văn cải tiến phương pháp dạy , giáo trình , cho sinh viên nghe nói hơn , đôi bảo sinh viên dịch một đoạn kiểm tra vựng , em thấy giáo viên cũng thương cho sinh viên thảo thuận cặp nói , thật bạn biết nói , ngoài dịch tiếng việt ghép nghĩa tiếng anh !",0,1
thế giáo viên lý thuyết thể đưa bài thực hành cho sinh viên làm đến giảng viên thực hành .,0,0
"thời gian hiệu quả , giảng viên nhiệt tình .",2,0
sử dụng trang web trao đổi thảo luận lớp .,1,0
"cho thi cuối kỳ bằng hình thức code máy , code giấy chán tính thực tế !",0,1
"thầy dạy hài hước , tận tâm vấn đề về học tập cũng làm sinh viên .",2,0
bài nói hay .,2,0
thầy dạy kỹ phần bài học giúp em dễ hiểu bài nắm vững kiến thức .,2,0
"giảng viên tận tâm , nhiệt tình , vui tính .",2,0
thầy giảng dạy tận tình .,2,0
"phòng học nhỏ , đủ máy , kết nối mạng phòng thực hành khoa mạng máy tính .",0,2
hơi khó tính khó tính giúp ích cho em !,2,0
"cô dạy kỹ , quan tâm cho sinh viên .",2,0
"thầy wzjwz310 cách dạy dành cho người chủ động đam mê học tập , người ham học hỏi , tìm hiểu , đam mê ( còn bạn tinh thần hỏi khó học tốt ) .",2,0
"thầy giảng hay , dạy nhiệt tình .",2,0
"giảng viên tận tâm , nhiệt tình dạy học , giảng dễ hiểu , vui tính , hiền lành .",2,0
thầy wzjwz289 dạy thêm vài môn cho tụi em học .,2,0
phần thực hành môn này còn thiếu thiết thực tế .,0,2
phương pháp giảng dạy .,1,1
"thầy tận tâm , nhiệt tình giảng dạy .",2,0
cung cấp đầy đủ kiến thức sắp xếp tài liệu gọn gàng giúp cho sinh viên dễ dàng tìm kiếm .,2,0
"thầy dạy tốt , trọng tâm bài học .",2,0
"giảng viên tận tâm , nhiệt tình , giảng dạy chi tiết nội dung môn học , ví dụ sinh động , sát thực tế .",2,0
giảng viên đảm bảo giờ lớp giảng dạy .,2,0
"lớp học vui , giảng viên giảng dạy sáng tạo , dễ hiểu .",2,1
"giảng viên nói tiếng anh khá khó nghe , nói nhỏ .",2,0
"cô cho ví dụ hơn , giảng bài chậm hơn ạ !",0,0
cung cấp kinh nghiệm hay học cũng đi làm này .,2,0
đề cương cụ thể .,0,1
"thầy cho bài tập giải chi tiết , giảng dễ hiểu .",2,0
"phòng máy , thiết mạng đầu tư vệ sinh , em thấy phòng máy quá bụi , cửa hở mát , dẫn đến hòa mất tác dụng , lãng phí .",0,2
"giảng viên tận tâm , nhiệt tình , bài tập hay .",2,0
sinh viên tự vận động áp dụng lý thuyết thực hành .,0,0
"cô gây hứng thú học cho sinh viên , đặc biệt đối môn khó thế này .",0,0
giảng khó hiểu .,0,0
"thầy tận tâm , nhiệt tình , giảng kỹ bài học .",2,0
ví dụ minh họa dễ hiểu .,2,0
"dạy nhiệt tình , giỏi .",2,0
thầy dạy hơi khó hiểu .,0,0
"cải thiện thiết lớp học doubledot máy chiếu , ổ điện , quạt .",0,2
"vui vẻ , giảng dễ tiếp thu .",2,0
thầy wzjwz251 dạy nhiệt tình sinh viên .,2,0
thầy wzjwz97 dạy quá dở .,0,0
cho học sinh tích cực thuyết trình bằng tiếng anh .,2,0
đem kiến thức môn học .,2,1
cô giảng dạy hay truyền đạt kiến thức đến sinh viên .,2,0
"nhiệt tình , tận tâm , truyền đạt ví dụ dễ hiểu .",2,0
"nâng cấp cơ sở vật chất đặc biệt loa , micro mạng wifi .",0,2
chép hơi .,0,3
"đảm bảo giờ dạy lớp đầy đủ , đúng giờ , tận tình .",2,0
em nghĩ thực hành nói hơn .,0,1
tốc độ giảng dạy tương đối cao .,0,0
cho bài tập lớn sinh viên thể làm nhóm .,0,0
máy tính khó sử dụng .,0,2
giáo viên tận tâm nhiệt tình giúp đỡ học sinh quá trình học tập .,2,0
thầy chưa bao quát hết lớp nghe giảng .,0,0
"giáo trình lỗi thời , quá hàn lâm , xa thực tiễn .",0,1
"thầy bận , hay quên .",0,0
"nhiệt tình trả lời câu hỏi sinh viên , tài liệu cung cấp đầy đủ rõ ràng .",2,0
chưa kinh nghiệm giảng dạy .,0,0
đánh giá đúng khả năng học sinh .,0,0
dạy vui .,2,0
lớp chất lượng cao thiếu thiết .,0,2
"đồng ý làm bài tập tăng khả năng hiểu bài , tăng khả năng giải quyết bài toán .",2,1
truyền đạt kinh nghiệm thực tế .,2,0
nắm vững ngữ pháp nâng cao kỹ năng viết .,2,3
phòng thí nghiệm thể thêm thiết thật chạy phát triển ứng dụng windows phone bạn biết điểm khác nhau giữa chạy thiết giả lập thiết thật .,0,2
"vui vẻ , tận tình , hoà đồng .",2,0
học cách giảng dạy nhiệt tình thầy .,2,0
"em hài lòng về thầy , thầy tận tình giúp đỡ sinh viên , mọi thắc mắc luôn trả lời đầy đủ .",2,0
thầy dạy chi tiết .,2,0
chép bài lớp giúp nhớ bài .,2,1
giảng viên vui tính .,2,0
giảng viên khả năng truyền đạt phương pháp giảng dạy dễ hiểu .,2,0
giáo viên dạy nhiệt tình quan tâm tới học sinh .,2,0
thay kiểm tra wecode cho làm lớp hay hơn .,0,1
em muốn thầy cô dạy nói hơn ứng dụng hơn .,0,0
thầy cho bài tập về nhà hướng dẫn giải .,2,0
chưa dạy cách áp dụng môn học thực tiễn .,0,0
áp dụng thực tiễn cao !,2,1
"vấn đề cô nói thường nhanh , dài khó hiểu .",0,0
